Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48
Probe 1	0.436844	-4.678967	1.248170	1.335720	0.663512	-3.832836	-6.712349	-5.429723	-1.202216	-1.292923	-4.217418	-4.641471	1.746429	-4.428622	0.917477	-4.916477	1.264023	-3.847045	-0.046264	-3.517349	1.631201	0.253276	-4.445409	-0.652262	-3.357194	-7.229107	-0.828826	-0.704639	0.583800	1.913973	0.100363	-4.913479	0.208233	-0.653702	-0.631378	-1.551674	-3.499839	-3.317793	1.735659	-3.919527	-5.361001	-1.495916	-3.459962	-6.756890	-4.129329	1.073962	-4.217428	-3.670988
Probe 2	0.124179	0.701013	0.986311	1.416247	2.073198	0.442834	-0.217123	-0.120925	-0.623223	0.000000	0.289985	0.298862	1.371415	-1.134301	0.159027	0.000000	-0.184585	0.484820	-0.171203	0.438633	1.463779	-0.299560	-0.134434	-0.154247	0.000000	0.291182	-0.576521	0.593808	0.527603	1.709449	-0.187459	0.829214	-0.116173	-0.337149	-0.707717	-1.224095	-3.264536	0.375554	1.603483	-1.658794	-1.304529	0.000000	-2.647140	-1.225044	1.577086	-1.808078	-0.445345	-1.764056
Probe 3	1.251345	0.671476	-3.220098	1.435084	0.838424	0.574765	-4.824259	-1.131316	-1.268265	-3.956057	-2.208373	-1.385886	1.579122	-3.724959	-0.767273	-2.565597	0.763940	0.963974	-0.182547	-0.346022	-0.010576	0.295596	0.298842	-0.842647	-0.565563	-5.264912	-1.247520	-0.017901	-3.533865	0.294276	0.191888	-3.369570	0.435289	-1.915460	0.000000	0.000000	0.735744	-0.188512	1.287066	-0.211450	-3.842941	-1.204285	-0.362669	-0.024363	-1.407439	1.584310	-2.248194	0.829453
Probe 4	-0.449694	0.096388	-0.155628	-1.571484	0.565317	-1.803658	0.590860	0.069356	-0.062652	-0.427327	0.881017	-0.951127	0.773533	-3.273420	0.508520	-3.246976	0.243381	1.190227	-0.693559	1.110616	0.438329	1.459038	-2.816070	-2.108468	-0.385610	0.585660	-1.728467	-0.250962	-0.977632	0.794279	-3.026418	0.476302	1.481198	-0.107500	-0.177897	-0.659968	-0.383878	0.106828	0.650165	0.083179	-1.645801	-0.650176	-0.940565	-0.876090	0.735178	-0.157673	-2.607882	1.214331
Probe 5	0.581390	-0.054792	-2.080872	-0.183578	-0.821499	0.140178	0.338576	-1.551263	-0.567559	-0.168259	-0.696300	0.331377	-0.790374	0.347150	-0.650666	0.682594	-0.431917	0.756947	-0.332801	-0.235354	-0.896358	0.000000	-0.366874	0.061401	-0.077247	0.220580	0.829205	0.000000	-0.940640	-0.378653	0.559460	0.419868	-0.102368	0.000000	0.641231	-0.154063	-0.731454	-0.850711	-1.491422	-0.627857	-0.998819	-0.079434	-0.540854	1.008373	-0.230046	0.000000	0.028301	0.302466
Probe 6	0.723555	0.557199	-0.055896	-0.259823	0.311422	1.857607	1.541662	0.953142	0.647451	0.140900	0.880280	0.497486	0.604110	-0.107137	-0.341418	-0.354033	0.535051	0.717405	0.758426	1.445391	-0.180026	-1.268535	0.357618	0.238750	0.457704	1.546408	0.831490	0.463125	-0.032689	0.791518	-0.231210	0.544029	0.075632	0.530609	0.445498	0.340911	0.769116	-0.262975	-0.016801	0.809827	1.454964	0.262581	0.404240	0.737244	1.165288	0.584963	0.208278	0.431001
Probe 7	0.445129	-0.073567	0.967349	0.353292	0.331122	-0.102641	1.750007	1.472739	-0.701328	-0.202925	1.387144	-0.459248	0.118086	0.347197	0.037411	0.139253	0.515222	0.267785	-0.152584	0.810243	0.039173	0.236594	-0.191374	-0.173142	0.639564	1.886750	-0.087076	0.408017	0.079895	0.617495	0.008532	0.617820	0.043693	0.022641	0.295753	0.269561	-0.298822	-0.156495	0.554740	1.150440	-0.228224	0.260839	-0.220231	0.282646	0.672566	0.259448	0.079417	0.597425
Probe 8	-1.220284	-3.605850	-0.482727	0.692083	-1.610283	-2.591022	-5.324385	-5.059004	-4.280698	-0.869166	-3.025915	-3.749585	-1.914581	-3.429848	1.041677	-0.808599	-3.609893	-3.166839	-0.518007	-2.981853	0.544645	-0.422080	-4.637709	-0.427978	-1.999671	-5.515384	-1.200125	-2.748234	0.355616	-1.938136	-3.655229	-3.906891	-2.034238	-0.433288	-3.264170	-1.713933	-4.373129	-3.841402	-2.565483	-2.948501	-5.490832	-1.850169	-1.288476	-2.446256	-3.093858	1.041951	-3.276937	1.509014
Probe 9	-0.983192	0.393511	0.160264	-0.330265	0.655239	0.422544	0.566804	1.413778	0.132535	0.718074	-0.531559	2.117487	0.128761	-0.625891	-0.095369	0.406542	-0.145164	-0.171788	0.714130	0.482422	1.594941	0.630206	-0.431318	-0.148891	0.132594	0.385195	0.222392	-0.314109	0.521395	1.119331	0.218930	2.220533	1.346397	-0.480873	-0.571128	0.209936	0.000000	-0.078967	0.540155	-0.270648	-0.170102	0.752907	-0.159882	0.537452	0.498219	0.138274	-0.411698	0.249450
Probe 10	0.292256	-0.018676	1.495748	-1.006418	0.594174	0.128960	1.011105	-0.017175	0.635346	-0.911049	0.991406	0.026035	0.308566	1.561943	-0.916904	0.326777	0.374342	-0.728560	0.001767	0.032464	-0.076826	-0.621549	-0.256603	-0.313880	-0.417786	0.854206	1.536053	-0.006401	-0.829487	0.637883	0.236600	0.248733	0.479419	-0.371559	0.076069	0.663907	0.380445	-1.535439	-0.019166	-0.079694	-0.705595	0.574535	0.759221	-0.914383	-0.423854	-1.142539	0.468548	-0.032421
Probe 11	0.338961	1.144244	-0.630671	0.383632	-0.617781	-2.082562	-1.517399	-1.176222	1.730859	-1.091953	0.210259	0.375294	-0.509070	-4.461148	-1.587423	-3.538391	0.489402	0.705315	-3.241603	-0.900679	0.228535	-1.185477	-4.918585	-5.652101	-2.215919	-1.178755	-0.759161	0.809957	-1.522415	0.289584	0.860905	-0.243651	0.470730	-3.317857	1.483260	-0.403070	1.051675	0.816598	0.561023	0.004521	-5.317970	-0.183969	-1.178516	-0.004648	-0.812955	-0.823447	-3.904772	0.179994
Probe 12	-0.882100	-0.092770	-0.355439	-1.311155	0.458611	-0.458615	-0.829848	-0.026553	-0.808688	-0.124918	-0.622421	-0.049221	0.024749	-0.937500	1.060609	0.036104	0.485906	0.109244	0.049726	-1.104810	-0.219097	-0.875600	0.267572	0.707963	-0.707576	-1.062415	-0.014756	-0.115477	-1.410721	-0.573801	-1.468519	-1.439047	-0.020679	-1.030600	-0.539091	0.208462	-0.558014	-0.486729	-0.205836	0.406775	-1.253204	0.385878	0.093916	-0.259421	-0.716326	-0.108861	-0.221463	1.294975
Probe 13	-0.499147	0.234617	0.161011	-0.054584	0.863598	1.087575	1.645584	3.118361	-0.044806	0.124672	1.400850	0.267955	0.385199	-0.053930	0.179237	0.897213	0.144182	-0.328160	-0.078429	0.733178	0.656050	0.622812	0.568538	0.549178	0.577883	1.705027	0.341027	-0.528033	0.974918	0.550760	0.643519	0.290132	0.222005	-0.069453	0.188445	0.575924	0.000000	-0.163771	0.490450	0.400280	0.383557	0.139843	-0.374946	-0.309579	1.014012	-0.569945	-0.314679	0.987546
Probe 14	0.589333	-0.343872	0.536764	-0.568264	0.569434	-0.908614	-1.227742	-0.693202	0.555275	-0.334447	-0.262874	-0.247346	0.565755	-1.840695	0.780545	-2.516431	0.600790	1.073966	0.559531	-0.334784	-0.640831	0.629035	-1.616943	-0.664970	-0.735334	-1.360642	-0.032905	0.688129	0.820373	0.459780	-0.568695	0.393261	0.493238	-0.336604	0.844556	-0.377211	1.011461	0.597642	-0.248459	-0.704107	0.078158	-0.253072	-0.786856	1.188385	-0.570429	-0.011736	-2.182938	1.094130
Probe 15	-1.391880	0.000000	-0.458242	-0.503662	-0.740297	-3.933573	-3.486857	-3.098611	0.457653	0.122040	-1.279778	-0.168546	0.292391	0.222781	-0.526428	0.795570	-1.434855	-0.238530	-0.663951	-2.306006	0.345415	0.572362	-1.586224	-1.189147	-3.089206	-2.745475	-0.892391	0.000000	-0.096840	-1.212629	-3.994580	-1.302833	0.364415	-0.571517	-3.814444	-0.538312	-2.164613	-0.102098	-0.949695	-1.584963	-1.242494	0.091821	-0.166368	-0.486721	-2.715326	-1.435585	0.000000	-1.105701
Probe 16	1.747838	0.336633	-0.239157	0.538393	1.600874	0.063529	-0.288273	0.701996	0.120598	-1.925999	-0.317482	0.095688	0.336820	-0.230073	-0.370917	-0.394020	-0.759870	0.479590	0.359384	-0.475454	0.569713	0.316359	0.658830	0.499679	1.076707	-0.409244	0.146502	0.242419	0.152003	0.160098	-1.110389	0.014121	-0.685169	0.000000	-0.258660	-1.059568	-0.059560	-0.561971	1.255638	0.332066	-1.171507	-0.031853	-0.477282	-1.033695	0.047383	0.148267	-0.004172	-0.023520
Probe 17	-0.747395	-0.151430	0.252468	-0.285712	0.219081	-1.989392	-0.148370	-0.088427	-0.036194	0.126182	-1.106754	-0.053688	-0.383609	-1.859030	0.569248	-0.357059	0.550918	-0.859439	-0.644854	0.225657	-0.741404	0.097796	-2.225082	1.323698	0.127815	-0.542753	-0.672039	0.433667	-0.555698	0.184604	-0.515241	-0.629578	0.499252	0.255870	0.439156	-0.725072	-1.533199	0.163593	0.832702	-0.902091	-0.668706	-0.398560	-0.530345	-0.787614	-1.083739	0.336251	-0.791939	0.134715
Probe 18	-0.352478	0.469854	-0.154922	-0.114551	0.682167	0.764724	1.719012	3.026919	-0.047797	0.736501	1.861565	0.300951	0.678210	0.136882	0.409150	0.671538	0.213774	-0.239046	0.027398	1.280458	0.327583	0.783760	0.587554	0.546123	0.846826	1.412766	0.553693	-0.410428	0.719782	0.441209	0.753310	0.415304	-0.051242	0.366646	0.145414	0.439903	0.121473	0.719011	0.322266	-0.033334	0.327482	0.423872	-0.621888	-0.200661	0.000000	0.210266	-0.223083	0.624366
Probe 19	-0.748123	0.000000	0.042371	-0.670823	1.510464	-3.714795	0.369131	-1.882759	-0.018609	1.406660	1.291559	-0.619889	0.562579	-2.444165	-0.167409	0.000000	0.594442	1.891325	-0.691226	0.212596	0.550184	0.574606	-4.304908	0.463169	-2.601294	0.204041	0.230298	0.564343	0.202139	0.707409	-1.229276	1.687469	1.390073	0.000000	1.293533	-1.267664	0.506044	0.938121	-0.377756	0.511837	-3.578493	-0.610596	0.039491	0.117102	-0.467698	0.870085	-2.009629	0.633365
Probe 20	-0.901986	-0.040264	-0.043623	0.055780	0.793052	-1.535509	0.099978	0.000000	0.223388	1.492941	-0.191418	-0.022892	-0.223272	-1.434831	0.192795	0.000000	0.288569	0.900464	-0.451654	0.391655	0.148383	-0.063252	-2.045450	-0.267601	0.000000	0.035254	1.325209	0.234183	-0.582030	0.160315	-0.490739	1.053337	0.409161	0.135160	0.968139	-0.915535	-0.366931	0.846320	0.295551	-0.019880	-1.835903	0.372606	-0.286192	-0.260434	-1.586205	-0.062847	-0.369517	0.007909
Probe 21	-0.630652	-1.234465	1.532886	-0.099441	-0.701980	-2.323171	-0.406958	-2.901746	-0.796330	-0.462426	-0.644358	-0.994300	-1.281806	-3.510603	-1.246945	-2.287440	-0.874603	-1.041437	-0.765101	-0.553514	0.455322	-1.796885	-0.908489	-0.148122	-4.281639	-0.855096	1.134898	-0.392675	-0.565353	-2.014965	-1.664409	0.407302	-1.983856	0.181711	-0.846794	0.508794	-1.464640	-0.883186	-1.036206	-0.056061	-4.396434	-0.411767	1.200150	0.000000	-0.573267	-0.733285	-1.423383	-0.608759
