Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48	Training experiment 49	Training experiment 50	Training experiment 51	Training experiment 52	Training experiment 53	Training experiment 54	Training experiment 55	Training experiment 56	Training experiment 57	Training experiment 58	Training experiment 59	Training experiment 60	Training experiment 61	Training experiment 62	Training experiment 63	Training experiment 64	Training experiment 65	Training experiment 66	Training experiment 67	Training experiment 68	Training experiment 69	Training experiment 70	Training experiment 71	Training experiment 72	Training experiment 73	Training experiment 74	Training experiment 75	Training experiment 76	Training experiment 77	Training experiment 78	Training experiment 79	Training experiment 80	Training experiment 81	Training experiment 82	Training experiment 83	Training experiment 84	Training experiment 85	Training experiment 86	Training experiment 87	Training experiment 88	Training experiment 89	Training experiment 90	Training experiment 91	Training experiment 92	Training experiment 93	Training experiment 94	Training experiment 95	Training experiment 96	Training experiment 97	Training experiment 98	Training experiment 99	Training experiment 100	Training experiment 101	Training experiment 102
Probe 1	0.819835	0.394195	0.446364	0.261249	0.525005	0.916259	0.271807	0.905585	0.545359	0.600965	0.412847	0.572120	0.368086	0.780480	0.495727	0.217071	0.993305	1.054556	0.323775	0.643205	0.461062	0.700871	0.445042	0.853090	0.314475	0.776630	0.629956	0.483778	0.785328	0.879604	0.467029	0.467404	0.425495	0.384093	0.402552	0.212069	0.525118	0.516378	0.398695	0.451329	0.253560	0.462011	0.333238	0.447016	0.417290	0.566137	0.313956	0.369989	0.456620	0.413772	0.381197	0.938525	0.993599	0.660137	0.415966	0.582388	0.339305	0.533151	0.512198	0.466202	0.253480	0.660073	0.586830	0.455355	0.412313	0.924696	0.496848	0.878332	1.124112	0.439530	0.460562	0.294386	0.443366	0.333757	0.384910	0.767004	0.406558	0.302412	0.489083	0.618330	0.327026	0.331118	0.476939	0.178076	0.261201	0.271812	0.462184	0.507299	0.379890	0.891836	0.374249	0.432171	1.014128	0.510503	0.300692	0.408339	0.509839	0.508051	0.456745	0.404473	0.367005	0.441436
Probe 2	1.696542	0.471448	0.795341	0.605818	0.530039	1.911907	0.450149	1.936461	1.073726	0.583160	0.506856	0.463413	0.426266	1.629098	0.800724	0.422452	1.930241	2.021564	0.560693	0.434946	0.541710	0.492178	0.434047	1.877786	0.604718	1.812970	0.597547	0.816993	1.509713	1.813672	0.331457	0.551132	0.587778	0.733342	0.470058	0.454059	1.117165	0.827131	0.561519	0.842715	0.434441	0.534472	0.730711	0.459311	0.436929	0.842242	0.544687	0.407971	0.599631	0.451848	0.757167	2.092054	2.018209	0.492344	0.535609	0.558691	0.440247	1.092137	0.930181	0.620433	0.511781	1.381229	0.629974	0.745845	0.410953	2.051825	0.802127	2.021855	2.126935	0.974142	0.814857	0.400372	0.488346	0.668516	0.631652	1.725485	0.656002	0.576051	0.473147	0.423141	0.766175	0.657539	0.815141	0.397979	0.451830	0.582559	0.868627	0.504385	0.403516	1.766752	0.444291	0.575484	2.071358	0.990858	0.563533	0.466261	0.842160	0.782499	0.850449	0.705367	0.703670	0.720116
Probe 3	-0.683699	-0.607459	-0.514979	-0.789746	-0.499494	-0.670319	-0.668256	-0.889250	-0.135199	-0.753163	-1.031859	-0.170839	-0.971583	-0.699529	-0.760286	-0.757703	-0.699899	-0.690246	-0.753435	-0.177670	-0.685687	-0.152257	-0.539050	-0.835907	-0.691925	-0.875564	-0.724671	-0.608935	-0.786392	-0.642870	-0.489238	-0.546154	-1.004427	-0.702918	-0.920000	-0.770377	-0.088786	-0.395735	-0.805200	-0.484353	-0.718095	-0.920326	-0.619215	-0.529594	-0.961271	-0.597889	-0.497411	-0.861870	-1.058144	-0.930986	-0.742373	-0.881149	-0.876987	-0.209553	-0.904606	-0.485482	-1.146856	-0.273794	-0.203659	-0.731183	-0.766371	-0.672246	-0.646431	-0.460072	-0.951948	-0.940749	-0.719895	-0.945376	-0.652373	-0.109588	-0.716046	-0.658783	-1.093450	-0.765634	-0.764269	-0.778314	-0.793103	-0.750201	-0.444554	-0.268560	-0.636399	-0.776164	-0.422043	-0.826228	-0.671240	-0.773447	-0.637460	-0.586421	-0.643220	-0.670265	-0.302839	-0.923474	-0.681988	-0.075357	-0.727109	-0.576076	-0.255273	-0.682588	-0.522792	-0.666033	-0.685990	-0.625217
Probe 4	0.565489	-0.060939	0.275665	0.101203	0.381792	0.734072	-0.343721	0.358256	0.059919	0.689555	-0.025649	0.061131	-0.455897	0.511496	0.093130	-0.380776	0.537665	0.548278	0.189940	0.199014	0.296257	0.135927	-0.013391	0.317032	0.108957	0.265522	0.712782	-0.058479	0.485893	0.633577	0.092255	-0.074168	0.002130	0.317534	-0.339986	-0.393800	0.095934	0.324924	-0.134668	0.216850	-0.452295	0.048193	0.418436	-0.055899	-0.383951	0.117694	0.249738	-0.373308	-0.085392	-0.384015	0.238972	0.457186	0.470771	0.113424	-0.050201	0.455291	-0.464782	0.057812	0.073175	0.294159	0.191213	0.325861	0.857104	0.209201	-0.453853	0.344446	0.094250	0.385730	0.613715	0.093162	0.085677	-0.357164	-0.400977	0.259999	0.215736	0.206270	0.133215	0.190061	-0.050116	0.046893	0.201211	-0.216092	0.273009	-0.408004	-0.330576	0.144743	0.036830	-0.194129	-0.206947	0.639047	-0.138290	-0.004742	0.797460	0.087656	0.176892	-0.144043	-0.010969	0.049827	0.298762	0.318779	0.384139	0.394632
Probe 5	-1.058597	-1.132205	-0.982449	-1.297596	-1.058474	-1.164377	-0.656038	-1.063393	-1.330618	-0.965920	-1.081185	-0.998406	-1.183279	-1.052002	-1.027245	-0.839459	-1.313212	-1.331544	-1.332798	-0.896331	-0.980781	-1.025099	-0.897925	-0.962609	-1.248812	-1.056655	-0.891264	-1.013802	-1.038760	-1.154462	-1.050180	-0.983747	-1.129529	-1.386488	-0.945250	-0.826109	-1.394931	-1.003549	-1.172619	-0.954828	-0.721631	-1.050260	-1.374542	-1.044184	-0.913599	-1.054297	-1.308162	-1.030427	-1.201530	-0.847685	-1.146993	-0.948025	-1.254224	-0.980499	-1.080567	-1.047826	-1.147555	-1.341188	-1.343334	-1.171775	-1.265678	-1.044985	-0.924939	-0.974665	-0.838832	-1.045395	-1.012219	-0.916223	-1.222250	-1.395071	-1.032648	-0.763129	-0.928816	-1.405130	-1.015173	-1.093080	-1.132814	-1.204582	-0.952190	-0.991902	-0.958497	-0.946382	-0.924343	-0.787287	-0.750393	-1.279526	-1.113695	-1.141803	-0.981660	-1.069126	-0.993146	-1.048291	-0.941949	-1.399928	-1.294712	-0.871956	-1.416467	-1.142486	-0.976581	-1.476565	-1.364492	-1.373968
Probe 6	0.065595	-0.631013	-0.113185	-0.402492	-0.145559	0.038195	-0.583526	-0.494649	0.298311	-0.204132	0.041873	-0.452847	-0.476909	0.060175	0.328864	-0.539371	-0.391803	-0.405780	0.243191	-0.443859	-0.292219	-0.440067	-0.488035	-0.597568	-0.382870	-0.578984	-0.247113	0.415521	0.144390	0.082082	-0.269757	-0.399118	0.067341	0.113564	-0.514545	-0.596314	0.308069	-0.012951	0.190639	-0.073360	-0.389577	0.314028	0.147145	-0.598950	-0.513275	0.394653	-0.122497	-0.478839	0.058007	-0.474360	-0.373552	-0.545324	-0.475301	-0.324780	0.137574	-0.185476	-0.499097	0.299536	0.369213	-0.143508	0.085014	0.135238	-0.325621	-0.143760	-0.350981	-0.723037	0.304479	-0.653810	-0.359669	0.325951	0.333215	-0.514410	-0.358168	0.016616	-0.302391	-0.612227	-0.409266	0.219027	-0.390110	-0.465595	-0.158587	-0.374101	-0.024438	-0.513780	-0.593111	0.222749	0.337577	-0.442538	-0.452309	0.043785	-0.478956	0.258135	-0.015062	0.288065	0.237825	-0.331344	0.319485	0.343250	-0.015469	0.218549	0.067967	0.186894
Probe 7	1.569192	0.213974	0.630936	0.307153	0.357266	1.815288	0.389745	1.925971	1.000793	0.503433	0.080946	0.410608	0.201777	1.519806	0.593709	0.238112	1.897604	1.967123	0.477645	0.338922	0.365527	0.408571	0.240767	1.814591	0.408591	1.705098	0.526693	0.742039	1.388543	1.603233	0.234953	0.387216	0.141364	0.505482	0.217918	0.266646	1.057482	0.598359	0.325280	0.690505	0.300814	0.252454	0.522735	0.388207	0.162275	0.688149	0.436820	0.179183	0.299422	0.161682	0.576703	1.973879	1.902469	0.382149	0.146697	0.424353	0.141113	0.938245	0.848745	0.466556	0.452719	1.271802	0.575231	0.533649	0.152992	1.989652	0.671162	1.948627	2.040381	0.870161	0.672435	0.265855	0.294926	0.400902	0.315315	1.641296	0.412783	0.520535	0.302844	0.376050	0.590174	0.582986	0.629590	0.208411	0.365672	0.515770	0.783617	0.352846	0.295783	1.624434	0.358042	0.293295	1.978449	0.886961	0.488983	0.308156	0.811258	0.594503	0.665658	0.519807	0.507010	0.479111
Probe 8	1.735657	1.170205	1.249756	1.360781	1.296874	1.891066	1.132642	2.215749	1.224606	1.391680	1.246702	1.308665	1.176752	1.637971	1.023094	1.047249	2.006062	2.147984	1.055605	1.276420	1.426316	1.257421	1.226949	2.002731	1.295945	1.942433	1.398458	1.084339	1.610076	1.767490	1.125454	1.206616	1.133225	1.064324	1.127438	1.092728	1.260432	1.251237	1.142052	1.275686	1.148190	1.204443	1.055662	1.157374	1.142877	1.157221	0.818575	0.995226	1.123026	1.156312	1.327256	2.205105	2.026511	1.316416	1.190044	1.351931	1.147426	1.237600	1.165237	1.320348	1.011893	1.494474	1.399653	1.278355	1.137221	2.179857	1.137133	2.194870	2.147569	1.135842	1.110427	1.110618	1.181820	1.071238	1.317662	1.937183	1.272147	1.013819	1.314893	1.244930	1.297254	1.164430	1.273644	1.168145	1.125191	0.993692	1.165971	1.148749	1.187346	1.763018	1.348319	1.218536	2.012988	1.199756	1.044755	1.118763	1.123165	1.059527	1.251111	1.024798	0.992278	1.100631
Probe 9	0.147115	0.434410	-0.632399	-0.150241	-0.800303	-0.105498	0.249928	1.081444	-0.404925	-1.045880	-0.530676	-1.083657	-0.125185	0.224965	-0.602938	0.163417	-0.214192	-0.370186	-0.601645	-1.068347	-0.639783	-1.020372	0.622536	0.869000	-0.347169	0.969137	-1.107704	-0.587436	0.305423	-0.041415	0.512575	0.796378	-0.517247	-0.401042	-0.447680	0.166634	-0.586323	-0.662809	-0.542242	-0.577592	0.272655	-0.531001	-0.535328	0.161881	-0.331744	-0.502359	-0.456277	-0.457818	-0.550474	-0.307833	-0.261135	0.955130	-0.309032	-1.056054	-0.648005	-0.776105	-0.442956	-0.517819	-0.757327	-0.507609	-0.445667	-0.118257	-1.076651	-0.698434	-0.421732	0.932562	-0.658619	0.992823	-0.168322	-0.834178	-0.601585	0.646307	-0.507545	-0.241197	-0.342111	1.109092	-0.260453	-0.639554	0.460460	-1.065863	-0.341822	1.392410	-0.641230	-0.352167	0.306841	-0.453594	-0.558448	0.397252	0.928338	-0.162934	-0.977118	-0.461879	-0.061180	-0.529566	-0.518967	0.367009	-0.703249	-0.625615	-0.565862	-0.462857	-0.505839	-0.458956
Probe 10	-0.403525	-0.671829	-0.644291	-1.011456	-1.079843	-0.226275	-0.962200	-0.561064	-1.002041	-0.663439	-1.094233	-0.489834	-0.838644	-0.553860	-1.106261	-0.669867	-0.170624	-0.054184	-0.944620	-0.481055	-0.936448	-0.584385	-0.975139	-0.570612	-1.036538	-0.707839	-0.589187	-1.135156	-0.564536	-0.338099	-0.737283	-1.011214	-0.728050	-1.016786	-0.560846	-0.988193	-0.910834	-0.548905	-0.912226	-0.693522	-1.010259	-0.956825	-0.950046	-0.682482	-0.721951	-1.174037	-0.956710	-0.829425	-0.678029	-0.755794	-0.900321	-0.481045	-0.193014	-0.623766	-0.890369	-0.958874	-0.797462	-0.912711	-1.015783	-1.361274	-0.947281	-0.713341	-0.586071	-0.625520	-0.992048	-0.408141	-1.045913	-0.486007	-0.104016	-1.005604	-1.145752	-0.992693	-0.816929	-1.126423	-0.860746	-0.727105	-0.961127	-0.860391	-0.914821	-0.518394	-0.845255	-1.247999	-0.634902	-1.107559	-1.014181	-0.909827	-1.165583	-0.778361	-1.153523	-0.417884	-0.249055	-0.903985	-0.110406	-0.882128	-0.887612	-1.081263	-1.049199	-1.127040	-0.642323	-0.997465	-1.008998	-0.963263
