Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48	Training experiment 49	Training experiment 50	Training experiment 51	Training experiment 52	Training experiment 53	Training experiment 54	Training experiment 55	Training experiment 56	Training experiment 57	Training experiment 58	Training experiment 59	Training experiment 60	Training experiment 61	Training experiment 62	Training experiment 63	Training experiment 64	Training experiment 65	Training experiment 66	Training experiment 67	Training experiment 68	Training experiment 69	Training experiment 70	Training experiment 71	Training experiment 72	Training experiment 73	Training experiment 74	Training experiment 75	Training experiment 76	Training experiment 77	Training experiment 78	Training experiment 79	Training experiment 80	Training experiment 81	Training experiment 82	Training experiment 83	Training experiment 84	Training experiment 85	Training experiment 86	Training experiment 87	Training experiment 88	Training experiment 89	Training experiment 90	Training experiment 91	Training experiment 92	Training experiment 93	Training experiment 94	Training experiment 95	Training experiment 96	Training experiment 97	Training experiment 98	Training experiment 99	Training experiment 100
Probe 1	5.691296	5.857617	3.707876	5.784266	6.122334	6.613582	6.152336	5.974123	6.280279	5.259466	4.386164	5.622833	4.774794	7.039572	4.797670	6.536310	5.865937	3.826578	5.764048	5.468717	5.156137	5.487204	5.561246	6.730657	3.973134	5.249677	5.550756	5.731086	4.815239	4.642542	5.475052	5.586170	5.287341	5.933114	4.435520	7.080360	6.251109	5.498654	6.095491	4.738549	5.699603	6.061227	2.763286	4.541769	4.886521	5.548492	6.598485	6.040535	6.063287	6.750975	5.847278	6.210531	6.704135	6.243264	5.690807	6.543463	6.001408	6.597975	3.948550	7.616212	5.498843	5.741798	6.089641	4.862765	5.465531	6.686743	5.821289	7.070546	5.441894	5.882929	4.808749	4.969830	5.683110	6.483919	6.346868	6.843320	6.800096	5.533871	6.709755	4.338899	4.455252	5.171999	6.098330	4.176763	6.388786	5.746548	6.073429	5.452373	6.076953	6.263980	5.927226	5.539142	7.048272	4.880045	5.183022	6.947369	6.354633	6.204788	5.827297	4.711388
Probe 2	7.636097	9.888053	7.887586	9.058853	8.909810	10.535850	8.208901	9.243735	8.757613	9.164046	7.895334	8.966251	8.352830	9.110655	8.577969	9.539315	8.296061	8.340263	8.935686	10.898187	9.721116	8.632226	8.261343	9.212657	8.608609	8.468940	9.867306	9.067731	9.418966	11.625277	8.856200	7.524947	9.370944	9.463137	8.299748	10.269197	8.193081	8.449876	10.633484	7.932408	9.362220	9.554777	9.484284	8.739093	9.278382	8.122282	8.225445	8.755063	10.212877	10.661745	9.240415	8.514285	9.666828	10.464244	8.696876	8.715800	8.397983	9.743669	10.227946	10.359549	8.985701	8.662935	7.482279	7.510867	7.907213	10.929540	7.801177	9.373772	9.699014	8.969515	9.046149	8.483473	11.639810	9.315773	7.855982	10.205275	8.803844	12.000181	10.362247	8.440631	8.852308	9.901507	10.286161	10.491801	9.774593	9.258913	9.291764	9.145781	8.409459	9.000584	10.455988	8.294914	9.011506	10.639831	9.984124	10.239563	8.744331	8.416370	8.919048	9.346218
Probe 3	6.978289	8.902325	6.157473	8.126480	7.732148	10.175266	7.757761	8.814290	8.461926	7.561007	7.505027	8.102790	7.596343	8.361648	7.659999	8.697166	7.700019	7.264820	8.294596	9.643345	8.999726	7.016099	7.905901	8.788675	7.693983	8.064290	9.117130	8.449155	8.875666	11.129688	8.310956	7.237615	9.195405	8.515612	7.343433	9.547197	7.423171	7.956339	10.070029	7.377294	7.888124	8.587797	8.424743	7.399955	7.513966	7.812875	7.825773	7.884469	9.589856	10.043904	8.884260	7.575265	9.108693	10.219116	7.551741	8.207788	7.383540	8.974992	9.985679	10.244795	8.091611	8.321488	7.590609	8.277671	7.850880	10.496279	7.457902	8.886307	9.586124	8.222548	7.634851	6.875033	11.108678	8.373393	7.387183	10.006240	7.402255	11.729303	10.223697	7.719528	6.526522	9.339046	9.926024	10.115829	9.714316	8.734762	9.287846	8.746033	8.258612	8.861672	9.971656	8.001031	8.211997	10.362623	8.830934	9.987402	6.944686	6.827639	7.871288	8.454933
Probe 4	7.869248	9.600378	10.035805	10.259835	10.911920	10.526726	8.787397	9.681138	9.316717	8.602502	10.426142	7.816624	10.145179	9.189352	8.654881	9.421745	10.015158	10.349176	8.753953	8.969355	10.196114	9.946375	9.849256	9.332048	9.490392	9.648102	9.312950	9.586693	7.108105	7.619121	7.424749	9.905593	10.189513	8.484262	9.367698	9.539984	8.829786	9.824220	8.693228	10.013798	8.690046	8.971163	8.869738	9.279201	8.533495	9.360624	6.473440	8.944419	9.367464	9.151006	10.217938	7.810491	9.565328	10.539770	9.765059	10.574305	8.131294	9.359999	7.294080	10.541352	6.189670	10.363438	10.166852	7.075091	8.380932	10.426597	8.203505	10.123757	9.665957	9.872768	9.769516	9.369696	7.653386	10.392094	6.183841	8.898632	10.757432	10.557277	9.801717	8.790149	9.528252	9.867265	10.721350	7.748566	9.742752	9.176780	9.795652	9.887643	10.564176	10.312974	9.329720	9.612118	11.309676	9.458505	9.411413	10.573260	9.618952	9.297782	11.647084	10.429464
Probe 5	5.647895	6.261853	3.496059	6.034327	6.360254	6.856606	5.259071	5.732701	5.814589	5.369154	5.025255	5.743396	5.648479	6.266332	6.288049	5.170150	5.454224	4.140342	5.170665	4.470638	4.062542	4.879750	5.623443	6.263785	5.491710	5.481875	6.223453	4.470708	6.751944	5.864880	5.615821	5.678071	5.893253	6.397632	4.163820	7.229255	5.168910	7.146274	7.020558	6.067849	6.635048	5.712277	5.062989	5.998295	6.165796	5.345981	6.493663	4.240053	6.491817	7.109586	5.949668	6.617418	6.190237	6.733487	5.472661	6.134291	4.270135	6.776267	5.226863	7.492057	6.411362	5.806945	6.140503	5.693942	5.531681	6.268005	5.978504	7.602767	6.409962	4.772652	3.889482	5.124127	6.652057	5.725197	5.156265	6.394603	5.065327	6.742723	6.657144	5.415311	4.418067	5.958650	7.665187	4.888521	6.143895	6.647261	5.967531	6.006495	4.724226	6.737748	6.746069	5.577139	7.152478	4.566358	5.827166	7.425272	5.756835	4.576623	6.170585	6.034764
Probe 6	6.441209	6.760450	4.865793	7.403640	7.730798	8.146106	7.199509	8.416609	7.977207	6.143614	6.607502	8.102620	4.950072	6.975042	7.892697	6.934482	7.413794	6.043828	4.711700	8.471293	5.375019	6.125203	7.996090	7.232058	6.213728	7.207573	6.765827	6.934014	6.591187	6.306373	6.854495	6.872788	6.971310	7.758403	6.680464	7.644383	6.098976	8.445464	7.629907	8.272633	7.747752	7.007943	6.780881	7.156369	7.195380	7.109619	6.131168	6.478627	7.247342	7.621675	7.675722	7.633024	7.014333	8.011872	7.683328	6.719236	6.900355	7.197166	5.781669	8.863798	7.016122	7.284760	7.782120	6.363059	7.300452	7.664613	6.143365	8.533138	6.789527	5.985953	5.127445	6.363155	6.385680	7.224844	5.784710	7.613371	6.656921	7.509179	7.487213	5.329245	5.309378	7.059990	7.401594	6.142897	7.764367	7.710633	7.253330	7.619159	6.442220	8.224397	7.226289	7.570903	8.381157	7.713925	7.518826	8.124681	7.289538	5.978108	7.274275	7.237498
Probe 7	6.658652	8.803140	6.769563	7.918519	7.289947	9.325074	7.356951	8.741706	7.348936	7.605136	6.721157	7.629659	7.299158	7.577007	7.668957	8.181607	6.843076	7.539614	8.216221	9.906554	8.444992	7.512322	7.181876	8.221265	7.242292	7.314633	8.334509	8.050579	8.292491	10.600921	7.550807	6.591603	8.332504	7.605587	6.263852	8.868668	7.092443	7.494391	9.430038	6.405705	8.289753	8.060477	7.882601	7.493435	7.906057	6.748693	7.317720	7.407552	8.793235	9.313657	8.087052	7.953576	8.467618	9.216174	7.613214	7.792533	7.069354	8.245205	8.640731	9.187742	7.835580	7.677581	4.410198	7.116786	6.868843	9.851549	5.240960	8.021000	8.789976	8.002148	8.090063	7.322686	10.567498	7.934185	7.020082	9.014257	6.994309	10.910296	9.110662	7.735114	7.858104	8.979838	8.887512	9.773630	8.679942	7.992030	8.409971	7.727823	7.909724	7.601619	9.500411	7.201955	7.730215	10.351800	8.583217	9.073881	7.566025	7.232945	7.616315	7.988041
Probe 8	5.211025	3.790353	3.446838	4.602828	4.385557	3.875632	3.297594	3.794806	3.292661	5.218167	3.092957	3.727376	4.833734	5.721187	4.989319	3.550930	3.488516	3.365372	2.742389	3.532607	3.064538	2.815468	4.243979	5.423226	3.748277	4.285668	2.677264	3.808070	3.811955	2.753187	4.617901	3.189869	3.730301	3.281632	3.152815	4.151733	4.265907	4.189619	3.914898	4.245513	4.699675	3.497707	4.641639	3.399928	2.638439	4.910308	3.924691	4.380310	4.543826	3.537429	2.866614	4.208895	5.714099	4.645930	3.210431	3.954058	4.219146	3.191792	5.583586	5.070807	4.894223	4.606898	7.310445	4.533715	3.652940	4.389310	4.130085	3.688056	3.766369	4.179711	3.119205	3.729670	4.557478	3.153814	4.381463	3.433716	2.770281	3.876300	4.242118	3.250901	3.274254	4.289090	3.151217	4.260716	3.180004	4.501910	3.494802	3.779260	4.119746	4.605639	4.957066	4.611040	4.149094	5.032387	3.234085	4.393141	3.780165	3.751317	4.301491	3.234057
Probe 9	5.416662	7.442724	4.592324	5.799553	5.801277	8.300637	5.543546	6.557768	6.034445	6.134891	5.146985	5.689785	4.860025	6.105926	6.427326	7.103591	6.056246	5.784820	6.650024	7.388303	6.734715	5.174546	5.622745	6.685729	6.669504	5.684262	7.239431	6.148728	6.232815	9.095861	6.792648	5.676016	7.058074	6.499125	6.231740	7.624561	5.755554	6.232891	7.658293	5.546314	5.763337	6.735412	6.685510	5.339695	5.778495	5.681098	5.625041	5.599464	7.233486	7.953703	7.462816	5.475210	7.164781	8.360377	6.028242	5.222523	5.022939	6.654792	8.105109	7.949025	5.790870	5.907176	6.429990	4.758978	6.110653	8.334738	5.714930	6.908307	7.730371	6.712613	5.868177	5.236019	9.118726	7.051975	5.368438	7.841087	5.830077	9.676636	7.842127	6.071687	5.328347	6.705008	7.330557	7.860983	7.402332	7.147302	7.486786	6.663691	5.035759	6.646093	8.122433	6.091559	5.953977	8.148814	6.334231	8.074622	5.760949	4.680507	5.486304	6.247826
Probe 10	3.554087	2.795750	4.231266	3.121724	2.976666	3.010893	3.067400	2.852269	7.989378	2.809921	3.801629	3.588824	3.422234	2.999290	3.272433	7.485374	6.803649	3.244420	3.548642	2.954938	2.802264	2.985499	3.701645	2.561745	3.385147	8.509163	2.914478	2.788250	2.935716	3.275876	3.191099	3.166875	3.321699	8.074431	7.396447	2.830567	3.444944	3.526057	2.877445	3.762711	2.981856	2.854324	8.591872	3.060117	3.025082	8.340035	3.263601	3.151937	3.516632	2.864049	3.658709	3.507205	4.414812	3.050313	3.040855	2.854162	3.094341	2.785809	3.481798	2.900321	2.614786	3.254085	3.843088	3.123793	5.892313	3.096674	3.939883	3.125328	7.062665	3.166119	2.709942	2.979746	2.936646	2.984661	3.351875	3.027822	2.734971	2.746161	2.966038	3.484307	2.781790	7.355177	2.833211	3.653417	7.729105	3.412681	3.030663	7.855012	2.958292	3.206092	3.247559	3.726918	3.004897	2.800969	2.943776	2.983700	3.382506	3.297920	2.882692	2.896545
