Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33
Probe 1	-0.093030	1.780700	0.326087	-1.040417	-0.072841	0.997688	-1.040417	-0.012978	1.548586	0.672721	-1.040417	-1.040417	1.379531	-1.040417	-0.697344	2.284695	-1.040417	1.431689	0.334119	-1.040417	-1.040417	1.009427	-1.040417	-1.040417	1.997190	-1.040417	0.532595	0.135793	-1.040417	0.775207	-1.040417	-1.040417	-1.040417
Probe 2	0.386919	-0.266931	-0.266931	-0.266931	-0.266931	-0.266931	-0.266931	-0.266931	-0.102705	-0.266931	0.116023	0.091990	-0.266931	-0.266931	-0.266931	1.099188	1.647633	-0.266931	-0.266931	-0.266931	-0.266931	-0.266931	2.804276	-0.266931	-0.266931	-0.266931	0.404530	-0.266931	-0.266931	1.253116	-0.266931	-0.266931	-0.266931
Probe 3	-0.502346	-0.502346	-0.502346	-0.502346	-0.502346	-0.502346	-0.502346	-0.502346	2.095893	-0.317822	-0.104441	1.367853	0.848928	-0.502346	-0.502346	1.253048	-0.502346	0.398965	0.840101	0.315986	-0.502346	-0.502346	1.790228	-0.502346	0.819398	-0.502346	-0.502346	-0.502346	-0.502346	-0.502346	-0.315496	0.678123	-0.502346
Probe 4	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	1.847161	1.183404	-0.268299	0.703906	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299	2.674111	-0.268299	-0.268299	-0.268299	-0.268299	2.032047	-0.268299	-0.268299	-0.268299	-0.268299	-0.268299
Probe 5	0.592556	-0.225334	0.397562	2.476013	-1.143619	-1.166165	-0.143690	-1.188673	0.400330	-0.266479	0.361978	-0.811904	1.586199	1.242211	-1.061918	3.601234	-0.565743	0.273909	-1.188673	-0.581650	2.853385	-0.334858	2.463503	-1.188673	-0.047766	-1.188673	0.850424	1.828547	-1.188673	-0.626806	-1.188673	0.025313	-1.188673
Probe 6	0.698616	-0.278188	1.310358	2.011241	-0.829471	-1.094704	-0.406468	-2.979081	0.340786	-0.377097	-0.294376	0.491399	0.777382	1.321308	-0.235885	2.452301	-0.689246	0.214724	-0.183114	-0.158896	1.826942	-0.330544	1.835180	-0.702367	-1.055348	-2.182110	0.701392	1.703314	-0.112043	-0.127995	0.604286	-0.143456	-0.506051
Probe 7	4.513585	-1.592279	-1.592279	-1.592279	5.294242	1.496880	0.316672	-1.592279	0.400467	0.153497	-0.114807	1.244997	-0.301127	-1.592279	2.608145	-1.592279	-0.969349	-1.294852	0.500054	-0.861874	-1.592279	0.472271	-1.592279	-0.884253	-0.828092	-1.592279	-1.592279	-1.592279	-1.592279	-0.322916	-1.592279	1.005537	0.880751
Probe 8	4.860996	-1.135350	-1.135350	-1.135350	5.262649	1.778070	-0.239696	-1.135350	0.028876	0.274083	-1.135350	-0.489645	-1.029553	-1.135350	2.591318	-1.135350	-0.011022	-0.351476	-1.135350	-1.135350	-1.135350	-0.416331	-1.135350	0.460952	-1.135350	-1.135350	-1.135350	-1.135350	-1.135350	-1.135350	-1.135350	0.087644	-1.135350
Probe 9	3.381040	-1.897001	-1.897001	-1.897001	3.830979	3.067104	1.351710	-0.598827	0.867505	1.422940	0.747526	-1.897001	0.235692	-1.897001	3.107715	-1.897001	0.924709	1.540687	-0.150164	-1.799652	-1.897001	0.920810	-1.897001	1.392516	-0.999547	-1.897001	-1.897001	-1.897001	-1.897001	1.234956	-1.897001	-0.091042	-0.074587
Probe 10	0.346690	0.346690	0.346690	0.346690	-0.008907	-0.330169	-0.178891	-3.956095	0.346690	0.030837	-0.196749	0.346690	0.346690	0.346690	0.346690	0.346690	0.346690	0.346690	-0.569984	0.346690	0.346690	0.346690	0.346690	0.346690	0.346690	0.066898	0.022047	0.346690	-0.759627	0.232830	-0.014453	0.346690	-3.975777
