Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48	Training experiment 49	Training experiment 50	Training experiment 51	Training experiment 52	Training experiment 53	Training experiment 54	Training experiment 55	Training experiment 56	Training experiment 57	Training experiment 58	Training experiment 59	Training experiment 60	Training experiment 61	Training experiment 62
Probe 1	-1.880212	-1.903463	-1.940011	-2.999700	-1.544697	-6.643856	-1.298877	-1.554662	-0.372056	0.425206	-1.737372	-2.072886	-2.518024	-1.554662	-4.381628	-1.953298	-1.690858	-1.601164	-3.139218	-0.993257	-3.767066	-1.890176	-1.657642	-2.694080	2.969806	-1.574592	-1.697502	-3.052857	-1.169324	-3.418265	-2.438295	-1.753980	-2.278847	2.132675	-2.547919	-1.594521	-2.720664	4.006243	-2.395114	-2.900041	-1.850317	-1.511481	-1.415144	-2.232334	-1.488219	-2.454903	-2.657543	-1.481576	-3.129253	-1.278947	-2.089494	-2.285491	-2.833609	2.611040	-3.321928	-1.886855	-2.009765	-1.860282	-2.508060	-2.640935	-2.428330	-2.491452
Probe 2	-1.979870	-1.993157	-1.757301	-2.119389	-1.770588	-6.401358	-1.029798	-1.567948	-2.225691	-2.933268	0.445138	-0.398631	-1.438395	-1.295555	-2.820312	-1.146061	1.524768	-0.398631	-1.800482	-0.455104	-0.558083	-0.485002	-1.335414	-1.780553	-0.774009	-0.395310	-0.687639	-2.338636	0.292329	-0.863701	-1.637713	-1.484897	-1.106202	-1.737372	0.089692	-1.700823	-0.886955	-1.172645	-1.750658	-1.574592	-1.976549	-0.956715	-1.348701	-3.657443	-0.983291	0.308939	-1.846996	4.358366	-0.531509	-1.152705	-1.783874	-2.189153	-1.956619	-0.544796	0.116268	-1.365309	-1.142740	-1.508160	-1.268971	-1.285590	-1.295555	-1.049730
Probe 3	-1.169324	0.707571	-0.979968	0.574694	-0.063117	0.255788	-0.199316	2.258907	1.398536	0.587981	0.079726	-0.783975	-0.667707	-0.431851	-0.348802	0.554762	-0.853735	0.528187	-0.627845	-0.710892	-0.558083	-0.880310	0.601269	-0.700927	-1.508160	-0.249145	0.581338	-0.674352	-0.382022	-0.933461	0.292329	-0.843770	-0.979968	-0.049829	-0.445138	-0.102980	0.076404	-0.129556	-1.102881	0.385344	0.102980	-0.800584	-1.179288	-0.455104	-0.332193	-0.710892	-1.468289	-0.508255	-1.391893	-1.312163	-0.750756	-0.298974	-0.182705	-0.478357	-0.059795	-1.322128	-0.172741	-0.481679	0.687639	0.661064	-1.142740	-0.069760
Probe 4	-1.116167	-0.674352	1.342058	0.704249	0.063117	-0.597947	-0.544796	-0.896921	-0.631166	-0.684317	-0.445138	-0.581338	-0.568049	-0.478357	-0.169418	-0.076404	-0.215925	-0.322227	0.983291	0.102980	-0.093014	0.521543	0.475036	-0.667707	-0.411919	-0.461748	-0.661064	-0.249145	0.069760	-1.242399	-0.318905	0.056473	0.285686	0.318905	-0.933461	-0.249145	-0.764043	-0.019932	-0.906886	-0.425206	0.332193	-0.106302	1.425109	-0.445138	-0.587981	-0.083048	-0.325549	0.139521	1.361987	0.561406	-0.568049	-0.960038	-0.873667	0.089692	-0.684317	0.385344	0.136199	0.441817	-1.069661	-0.820516	0.348802	-0.136199
Probe 5	0.122911	-0.913530	-0.441817	-1.308842	-1.288912	-1.219148	-0.574694	-1.371952	0.106302	-0.870346	0.501611	0.840448	0.375378	-0.428529	-0.690961	-1.431752	0.428529	0.471714	-0.375378	0.332193	-0.059795	0.587981	-0.890276	0.953393	-0.880310	-0.574694	-0.431851	-0.641132	-1.142740	-0.292329	0.102980	2.172545	0.418563	0.122911	-1.199218	-0.345480	0.657741	-0.491645	-0.159452	0.368734	-1.571270	0.627845	-0.119590	-1.146061	-0.355446	1.876890	1.189253	-0.491645	1.109524	0.189350	-0.558083	-0.837126	-0.501611	0.966681	0.617879	-0.305618	-0.152809	-0.494968	-1.092915	0.584660	0.568049	-0.554762
Probe 6	-0.488323	0.159452	-0.421885	-0.551440	-0.039863	-1.597843	-0.112945	0.930140	0.933461	-0.999900	0.634488	-0.415240	-0.853735	-1.408501	-1.235756	-0.169418	0.029897	1.763945	1.846996	-0.405276	-0.774009	-0.102980	2.820312	-0.265754	-0.438495	-0.159452	0.146165	-0.631166	-0.102980	-0.654420	0.136199	1.209183	2.169224	1.006544	0.544796	-0.777331	-1.694180	-0.391987	-0.614556	0.757399	0.298974	1.843674	0.634488	-0.933461	-0.365412	-0.807229	-0.777331	0.999900	1.634391	0.744112	-0.465070	-0.803907	-0.551440	-0.857057	0.262433	-0.551440	0.352125	-0.564728	-0.744112	-0.428529	-0.195994	-0.896921
Probe 7	-0.269076	-1.428430	-0.710892	-0.747433	-0.338837	-1.182610	-0.302295	-1.634391	1.029798	-0.478357	0.073082	-0.421885	1.760623	-0.551440	-0.262433	-1.116167	0.069760	0.554762	0.508255	-1.086270	0.043185	0.308939	0.000000	-0.498289	-0.764043	-0.401953	-0.428529	-1.242399	-1.053051	0.664386	0.544796	0.225891	-0.245822	0.000000	-0.803907	-0.747433	1.757301	-0.142843	-0.993257	0.225891	-0.564728	-0.225891	0.302295	-0.445138	-0.315584	0.624522	-1.371952	0.186028	1.172645	0.119590	0.000000	-0.634488	-0.933461	1.508160	0.581338	0.119590	-0.900242	-0.979968	0.823838	-0.368734	0.189350	-0.116268
Probe 8	0.122911	-0.199316	0.455104	-0.946749	-0.680996	0.983291	0.119590	-0.531509	0.186028	-0.734146	0.754078	-0.066439	-0.225891	-1.514803	-0.671030	-0.458426	0.000000	-0.578015	0.033219	0.391987	-0.219247	-0.126233	0.890276	0.149487	-0.724180	0.009966	-0.790618	-1.318806	-0.930140	-0.415240	-0.099658	0.601269	-0.335514	-0.036541	-0.518221	-0.312261	1.175967	0.993257	-0.471714	-0.195994	-0.013288	0.049829	0.664386	0.465070	-0.252467	-0.730824	-0.847091	-1.285590	0.680996	0.833804	-0.159452	0.229213	0.189350	0.498289	0.362090	1.318806	0.847091	0.112945	-0.338837	0.395310	0.033219	0.501611
Probe 9	1.272293	0.172741	-0.382022	0.617879	1.059695	-0.876989	1.149383	-1.023153	0.385344	-0.362090	-0.086370	0.156131	-0.225891	1.837031	0.521543	1.597843	-2.155926	1.016510	-3.557784	-0.382022	-0.129556	-2.205761	-3.979671	-0.365412	-0.448461	1.096236	1.611140	-2.139318	0.102980	-0.006644	-1.189253	-3.786996	-3.982992	-2.428330	0.661064	0.382022	-0.867023	-2.106102	1.023153	0.880310	-4.252064	-2.860182	-4.085973	0.019932	-0.445138	-0.305618	-0.651098	-0.192671	-4.315185	-2.800382	1.112845	1.139418	-0.528187	-1.837031	-1.408501	-0.644454	-1.049730	-0.494968	-0.418563	0.767365	-2.740593	-0.508255
Probe 10	0.162775	-0.538153	-0.069760	1.149383	0.857057	0.053151	0.023253	-0.970003	0.245822	1.175967	-0.601269	-0.498289	-0.116268	1.036442	0.332193	0.305618	0.192671	-0.604591	0.169418	-0.607913	0.541474	-0.298974	-0.624522	-0.239179	0.229213	0.312261	0.817195	0.122911	-0.222569	-0.312261	-0.365412	-0.368734	-0.973325	-0.783975	-0.079726	0.063117	0.039863	0.112945	0.162775	-0.328871	-0.518221	-0.504934	-0.192671	0.345480	-0.465070	-0.079726	-0.372056	-0.431851	-0.202637	0.106302	1.295555	0.136199	-0.242501	-0.259110	-0.554762	-0.425206	-0.186028	-0.501611	-0.159452	0.391987	-0.222569	-0.069760
