Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48	Training experiment 49	Training experiment 50	Training experiment 51	Training experiment 52	Training experiment 53	Training experiment 54	Training experiment 55	Training experiment 56	Training experiment 57	Training experiment 58	Training experiment 59	Training experiment 60	Training experiment 61	Training experiment 62
Probe 1	-0.229213	-0.342159	0.581338	-0.435172	-1.066339	-0.305618	-0.289008	-0.408597	1.076304	0.418563	-1.013189	-0.166096	0.156131	-0.322227	0.707571	0.445138	0.322227	0.391987	-1.381917	0.501611	-0.232535	0.767365	0.255788	-0.083048	0.674352	1.255685	0.724180	0.245822	-0.524864	0.036541	0.059795	-1.491541	0.192671	-0.239179	1.302198	0.099658	-0.651098	0.418563	0.322227	0.667707	-0.166096	-0.239179	-0.122911	0.833804	0.112945	-0.544796	-0.690961	0.574694	0.199316	0.607913	-0.049829	0.777331	0.239179	0.395310	0.471714	0.142843	0.704249	-0.312261	-0.136199	0.186028	0.767365	0.757399
Probe 2	-1.528089	-0.979968	-1.265650	-1.338736	0.199316	-0.186028	-0.953393	-1.388571	-0.315584	0.750756	0.501611	0.059795	2.557884	-1.212504	1.611140	0.322227	-0.787297	-0.352125	-1.564627	1.873568	-0.800584	-0.109624	1.268971	0.122911	0.312261	0.780653	-0.219247	-1.458325	1.481576	1.116167	-1.707466	-1.511481	-0.677673	-0.667707	-0.973325	0.152809	0.318905	1.886855	-0.823838	-0.730824	-0.637811	1.063017	-1.345379	0.680996	-0.269076	0.408597	-1.003223	-0.039863	-0.348802	-0.405276	1.202540	0.494968	0.617879	-0.637811	1.567948	0.684317	-1.003223	-0.810550	-1.474933	-0.651098	0.684317	-1.119489
Probe 3	-0.385344	-1.056373	0.033219	-0.514898	-0.318905	-1.451681	-0.760722	-0.272399	1.249042	-0.106302	-0.235857	-0.019932	0.607913	-0.398631	0.205960	-0.475036	-0.013288	0.973325	-0.511577	1.235756	-0.551440	0.362090	0.259110	-1.019832	1.039764	0.109624	-0.219247	-0.767365	0.574694	-0.079726	-0.235857	-0.538153	-0.106302	-0.259110	-0.797263	-0.315584	-0.847091	1.036442	-0.176062	0.136199	-0.435172	-0.016610	-0.571372	-0.395310	0.647775	0.089692	-0.694283	-0.950072	-0.202637	1.009866	0.229213	0.398631	0.156131	0.029897	-0.259110	0.750756	-0.737468	-0.365412	-0.109624	-0.425206	-0.504934	-0.069760
Probe 4	-0.385344	-0.727503	0.189350	-0.867023	0.096336	0.046507	-0.940106	0.461748	0.594625	-0.561406	-0.458426	0.398631	0.023253	-0.259110	0.285686	0.289008	0.936784	0.644454	-1.179288	0.501611	-0.531509	0.415240	0.152809	-0.006644	-0.255788	0.285686	0.581338	-0.780653	0.235857	-0.086370	-0.116268	-0.514898	-0.152809	0.119590	0.219247	-0.106302	-0.946749	0.780653	-0.102980	-0.391987	0.611235	0.186028	-1.232434	-0.342159	-0.229213	0.518221	-0.418563	1.159348	0.654420	0.451782	0.385344	0.059795	0.923496	0.355446	0.132877	0.036541	-0.099658	-0.405276	-1.156026	0.867023	1.056373	-0.146165
Probe 5	-0.690961	-1.036442	0.076404	-0.714215	-0.428529	-0.810550	-1.056373	-0.840448	0.401953	-0.229213	0.391987	0.112945	1.072983	-0.601269	0.132877	0.182705	0.212603	0.475036	-0.212603	0.518221	-0.916852	1.514803	-0.083048	-1.019832	0.614556	-0.093014	1.112845	-0.700927	-0.096336	-1.006544	-0.840448	-1.209183	-0.066439	-1.435073	-0.451782	0.279042	-0.411919	1.438395	0.006644	-0.541474	0.491645	-0.162775	-1.292234	1.076304	0.405276	-0.524864	-1.185932	1.727407	-0.544796	-0.435172	1.089592	0.581338	0.976647	0.159452	-0.056473	0.139521	-0.667707	-0.308939	-0.720858	-0.514898	0.358768	-0.202637
Probe 6	-2.677472	-4.441417	-0.036541	-3.282069	0.817195	-3.504638	-2.856860	-0.325549	0.249145	2.926614	-3.268783	0.215925	-0.724180	-0.046507	-0.411919	-0.182705	-2.694080	0.112945	-3.996279	1.491541	-3.966384	-2.086173	1.607819	0.013288	-1.514803	-0.046507	0.039863	-3.919871	0.411919	-1.408501	-3.986314	-4.285291	-0.405276	1.468289	-2.929936	0.783975	-2.637613	0.999900	-2.943233	-1.903463	-3.069465	-0.883633	-2.694080	0.471714	0.461748	-1.096236	-3.258807	0.195994	-0.840448	0.421885	0.166096	1.418465	2.361887	1.192575	-0.053151	0.099658	-4.162380	-0.823838	-2.434973	-0.597947	1.136097	-3.667407
Probe 7	-0.913530	-1.029798	-0.003322	-0.604591	0.192671	-0.521543	-0.827160	-0.475036	-0.225891	0.910208	-0.063117	0.355446	0.235857	-0.162775	0.352125	-0.388665	1.232434	0.584660	-1.162680	0.385344	-0.790618	0.079726	0.508255	-0.627845	0.006644	-0.348802	1.089592	-0.634488	0.348802	-0.279042	-0.345480	-1.375274	-0.126233	0.508255	-0.604591	0.481679	-0.940106	0.730824	-0.591303	-0.342159	0.651098	0.335514	-0.388665	0.813873	0.810550	0.292329	-0.770688	-0.617879	-0.488323	0.637811	1.521446	0.960038	-0.558083	-0.654420	-0.166096	0.142843	-1.199218	0.418563	-1.112845	-0.009966	-0.235857	0.169418
Probe 8	0.036541	-0.139521	-0.717537	1.338736	0.770688	-0.076404	-1.278947	-0.541474	-0.059795	0.621200	-0.259110	-0.016610	1.252363	-0.372056	0.212603	0.312261	-0.607913	0.242501	1.006544	1.129453	-0.265754	-0.916852	-0.411919	0.149487	0.627845	0.571372	-0.192671	-0.335514	0.508255	0.182705	-0.159452	-0.920174	-0.391987	-0.272399	-0.578015	-0.332193	-0.225891	1.142740	-0.737468	-0.305618	0.089692	0.737468	-0.906886	-0.687639	-0.714215	0.093014	-0.488323	0.455104	-0.391987	0.172741	0.039863	0.727503	0.647775	-0.368734	0.843770	1.056373	0.740790	-0.086370	0.139521	0.225891	0.199316	-1.548019
Probe 9	-1.358666	-1.079626	0.152809	-1.544697	-0.498289	-1.986514	-0.102980	-1.272293	0.724180	-0.245822	-1.328771	0.478357	0.960038	0.704249	0.754078	0.046507	-1.202540	0.664386	-0.857057	0.896921	-1.053051	-0.774009	1.209183	-1.817090	1.142740	-0.179384	2.368530	-2.132675	1.876890	0.671030	-1.916749	-1.943333	0.587981	-1.418465	0.265754	-0.999900	-1.335414	0.053151	-0.803907	0.289008	-1.677572	-0.604591	-1.557984	0.853735	-1.667607	-1.680894	-2.155926	-1.056373	-1.215826	0.372056	-0.279042	-0.302295	1.664286	0.358768	0.069760	0.305618	-2.780453	0.009966	-1.803804	-1.086270	-0.564728	-0.039863
Probe 10	-1.348701	-2.132675	-1.265650	-0.764043	-2.677472	-1.926714	-0.531509	-1.063017	-1.667607	3.351823	-0.039863	-0.508255	-0.807229	-1.232434	1.783874	-1.637713	-1.886855	-1.707466	-6.411322	0.102980	-2.627648	1.415144	1.056373	-0.601269	-0.195994	2.561205	1.700823	-1.783874	2.182510	-1.797161	-3.325250	-3.524568	-1.956619	1.936679	-1.840352	-0.099658	-2.464868	-1.156026	-1.229112	-2.873468	-1.179288	0.591303	-1.601164	1.009866	-2.029694	-1.833709	-2.438295	-3.863404	-1.660964	-2.634291	0.651098	2.398436	1.069661	-0.372056	-0.920174	-2.062921	-1.538054	-3.282069	-2.910006	3.056178	0.541474	-2.292134
Probe 11	-0.375378	-0.714215	0.375378	-0.418563	-0.491645	-0.837126	-0.215925	-0.970003	0.704249	0.202637	-0.793941	0.046507	1.033119	-0.285686	-0.242501	0.176062	1.059695	-0.242501	-1.541376	1.122810	-0.186028	-0.146165	0.292329	-0.332193	0.867023	0.232535	1.288912	-0.817195	0.671030	0.647775	-0.282363	-1.361987	0.102980	0.435172	-0.182705	0.043185	-0.624522	0.979968	0.063117	0.239179	-0.162775	-0.255788	0.837126	1.385249	0.132877	0.073082	-0.694283	0.205960	0.255788	0.418563	-0.348802	0.737468	0.604591	-0.843770	-0.285686	-0.767365	-0.790618	-1.092915	-0.680996	0.368734	0.857057	-0.574694
Probe 12	-0.481679	-0.920174	0.162775	-0.810550	-0.338837	-0.800584	-0.358768	0.179384	1.647678	0.614556	-0.418563	0.096336	0.847091	-0.076404	1.136097	0.405276	-0.285686	-0.033219	-0.797263	0.186028	-0.687639	0.212603	0.697605	-0.378700	0.302295	-0.259110	0.312261	-0.634488	0.192671	0.611235	-1.624427	-0.757399	-0.950072	0.338837	0.119590	-1.189253	-1.049730	-0.013288	0.465070	1.232434	-0.617879	-0.568049	-1.039764	1.308842	-0.807229	-0.192671	-0.578015	-0.235857	0.305618	0.471714	1.016510	0.651098	0.451782	0.401953	0.195994	0.654420	-1.185932	0.205960	-1.116167	0.269076	0.046507	-0.362090
Probe 13	-1.189253	-0.827160	-0.225891	-0.541474	0.322227	-2.119389	-1.292234	-1.541376	0.607913	0.671030	-0.332193	0.485002	2.023051	-0.591303	0.807229	0.385344	-0.269076	-0.083048	-0.295652	0.923496	-0.475036	-1.541376	1.132775	-0.059795	0.408597	0.694283	-0.514898	-0.986613	0.591303	0.149487	-1.850317	-1.365309	0.431851	-0.906886	0.548119	-0.793941	-0.518221	1.112845	-0.129556	-0.076404	-0.093014	0.607913	-2.079529	0.774009	-0.790618	0.036541	-2.029694	-1.252363	-0.428529	-0.395310	0.445138	1.132775	1.242399	0.950072	0.624522	0.777331	-1.471611	-0.176062	-0.335514	-0.126233	0.624522	-1.903463
